From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;127.027664;37.945065;sample16;대형노드;;89.125094;10.00;0.00;nan;2;127.119850;37.820267;sample18;대형노드;;10.00;0.00;nan;42.7;-78.17;53.53;1;1429.5;V;16048.13;149.60;-0.89;329.60;0.78;0.0;0.0;147.2;NLOS;20.00
1;127.027664;37.945065;sample16;대형노드;;89.125094;10.00;0.00;nan;3;127.096610;37.947189;NODE01;New;RE#;10.00;0.00;nan;59.0;-81.34;20.23;1;1429.5;V;6064.75;87.73;-0.07;267.73;0.03;0.0;0.0;130.8;NLOS;20.00
1;127.027664;37.945065;sample16;대형노드;;89.125094;10.00;0.00;nan;4;127.033353;37.947042;NODE02;New;RE#;10.00;0.00;nan;99.4;-40.97;1.86;1;1429.5;V;558.65;66.25;-12.09;246.25;12.09;0.0;0.0;90.5;LOS;20.00
2;127.119850;37.820267;sample18;대형노드;;89.125094;10.00;0.00;nan;1;127.027664;37.945065;sample16;대형노드;;10.00;0.00;nan;42.7;-78.17;53.53;1;1429.5;V;16047.69;329.60;0.78;149.60;-0.89;0.0;0.0;147.2;NLOS;20.00
2;127.119850;37.820267;sample18;대형노드;;89.125094;10.00;0.00;nan;3;127.096610;37.947189;NODE01;New;RE#;10.00;0.00;nan;63.4;-76.95;47.47;1;1429.5;V;14231.57;351.68;0.88;171.68;-0.97;0.0;0.0;126.4;NLOS;20.00
2;127.119850;37.820267;sample18;대형노드;;89.125094;10.00;0.00;nan;4;127.033353;37.947042;NODE02;New;RE#;10.00;0.00;nan;70.2;-70.10;53.35;1;1429.5;V;15992.45;331.54;0.37;151.54;-0.48;0.0;0.0;119.6;LOS;20.00
3;127.096610;37.947189;NODE01;New;RE#;89.125094;10.00;0.00;nan;1;127.027664;37.945065;sample16;대형노드;;10.00;0.00;nan;59.0;-61.84;20.23;1;1429.5;V;6064.75;267.73;0.03;87.73;-0.07;0.0;0.0;130.8;NLOS;20.00
3;127.096610;37.947189;NODE01;New;RE#;89.125094;10.00;0.00;nan;2;127.119850;37.820267;sample18;대형노드;;10.00;0.00;nan;63.4;-57.45;47.47;1;1429.5;V;14231.95;171.68;-0.97;351.68;0.88;0.0;0.0;126.4;NLOS;20.00
3;127.096610;37.947189;NODE01;New;RE#;89.125094;10.00;0.00;nan;4;127.033353;37.947042;NODE02;New;RE#;10.00;0.00;nan;58.7;-81.62;18.55;1;1429.5;V;5561.20;269.79;-1.17;89.79;1.14;0.0;0.0;131.1;NLOS;20.00
4;127.033353;37.947042;NODE02;New;RE#;89.125094;10.00;0.00;nan;1;127.027664;37.945065;sample16;대형노드;;10.00;0.00;nan;99.4;-21.47;1.86;1;1429.5;V;558.65;246.25;12.09;66.25;-12.09;0.0;0.0;90.5;LOS;20.00
4;127.033353;37.947042;NODE02;New;RE#;89.125094;10.00;0.00;nan;2;127.119850;37.820267;sample18;대형노드;;10.00;0.00;nan;70.2;-50.60;53.35;1;1429.5;V;15992.68;151.54;-0.48;331.54;0.37;0.0;0.0;119.6;LOS;20.00
4;127.033353;37.947042;NODE02;New;RE#;89.125094;10.00;0.00;nan;3;127.096610;37.947189;NODE01;New;RE#;10.00;0.00;nan;58.7;-81.63;18.55;1;1429.5;V;5561.13;89.79;1.14;269.79;-1.17;0.0;0.0;131.1;NLOS;20.00
